,Chemical.Name..From.Benzoyl.Chloride.Skyline.Transition.List.,CHEBI,InChIKey,CTS_InchiKey,KEGG,CTS_KEGG,InChI,formula
1,2′deoxycytidine,CHEBI:15698,CKTSBUTUHBMZGZ-SHYZEUOFSA-N,1,C00881,1,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",C9H13N3O4
2,2′deoxyguanosine,CHEBI:17172,YKBGVTZYEHREMT-KVQBGUIXSA-N,1,C00330,1,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",C10H13N5O4
3,2′deoxyuridine,CHEBI:16450,MXHRCPNRJAMMIM-SHYZEUOFSA-N,1,C00526,1,"InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1",C9H12N2O5
4,3′AMP,CHEBI:28931,LNQVTSROQXJCDD-KQYNXXCUSA-N,1,C01367,1,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(17)7(4(1-16)21-10)22-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",C10H14N5O7P
5,4-aminobenzoic acid,CHEBI:30753,ALYNCZNDIQEVRV-UHFFFAOYSA-N,1,C00568,1,"InChI=1S/C7H7NO2/c8-6-3-1-5(2-4-6)7(9)10/h1-4H,8H2,(H,9,10)",C7H7NO2
6,5′AMP,CHEBI:16027,UDMBCSSLTHHNCD-KQYNXXCUSA-N,1,C00020,1,"InChI=1S/C10H14N5O7P/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(22-10)1-21-23(18,19)20/h2-4,6-7,10,16-17H,1H2,(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",C10H14N5O7P
7,5′deoxyadenosine,CHEBI:17319,XGYIMTFOTBMPFP-KQYNXXCUSA-N,1,C05198,1,"InChI=1S/C10H13N5O3/c1-4-6(16)7(17)10(18-4)15-3-14-5-8(11)12-2-13-9(5)15/h2-4,6-7,10,16-17H,1H3,(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",C10H13N5O3
8,5′IMP,CHEBI:17202,GRSZFWQUAKGDAV-KQYNXXCUSA-N,1,C00130,1,"InChI=1S/C10H13N4O8P/c15-6-4(1-21-23(18,19)20)22-10(7(6)16)14-3-13-5-8(14)11-2-12-9(5)17/h2-4,6-7,10,15-16H,1H2,(H,11,12,17)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1",C10H13N4O8P
9,5′UMP,CHEBI:16695,DJJCXFVJDGTHFX-XVFCMESISA-N,1,C00105,1,"InChI=1S/C9H13N2O9P/c12-5-1-2-11(9(15)10-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H,10,12,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1",C9H13N2O9P
10,adenine,CHEBI:16708,GFFGJBXGBJISGV-UHFFFAOYSA-N,1,C00147,1,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",C5H5N5
