Metabolite,LOD,LOQ,Croco_10-7_filtrate_1,Croco_10-7_filtrate_2,Croco_10-7_filtrate_3,Croco_10-7_filtrate_4,Croco_10-7_filtrate_5,Croco_10-7_filtrate_6,Croco_10-7_filtrate_B1,Croco_10-7_filtrate_B2,Croco_10-7_filtrate_B3,Croco_10-7_filtrate_B4,Ehux_9-22_filtrate_1,Ehux_9-22_filtrate_2,Ehux_9-22_filtrate_3,Ehux_9-22_filtrate_4,Ehux_9-22_filtrate_5,Ehux_9-22_filtrate_6,Ehux_9-22_filtrate_B1,Ehux_9-22_filtrate_B2,Ehux_9-22_filtrate_B3,Ehux_9-22_filtrate_B4,MM_10-10_filtrate_1,MM_10-10_filtrate_2,MM_10-10_filtrate_3,MM_10-10_filtrate_4,MM_10-10_filtrate_5,MM_10-10_filtrate_6,MM_10-10_filtrate_B1,MM_10-10_filtrate_B2,MM_10-10_filtrate_B3,MM_10-10_filtrate_B4,Pro_11-18_filtrate_1,Pro_11-18_filtrate_2,Pro_11-18_filtrate_3,Pro_11-18_filtrate_4,Pro_11-18_filtrate_5,Pro_11-18_filtrate_6,Pro_11-18_filtrate_B1,Pro_11-18_filtrate_B2,Syn_10-30_filtrate_1,Syn_10-30_filtrate_2,Syn_10-30_filtrate_3,Syn_10-30_filtrate_4,Syn_10-30_filtrate_5,Syn_10-30_filtrate_6,Syn_10-30_filtrate_B1,Syn_10-30_filtrate_B2,Syn_10-30_filtrate_B3,Syn_10-30_filtrate_B4,Tpsu_9-24_filtrate_1,Tpsu_9-24_filtrate_2,Tpsu_9-24_filtrate_3,Tpsu_9-24_filtrate_4,Tpsu_9-24_filtrate_5,Tpsu_9-24_filtrate_6,Tpsu_9-24_filtrate_B1,Tpsu_9-24_filtrate_B2,Tpsu_9-24_filtrate_B3,Tpsu_9-24_filtrate_B4,pool01,pool02,pool03,pool04,pool05,pool06,pool07,pool08,pool09,pool10,pool11
"3′AMP neg",0.0375451250884628,0.113773106328675,31.0941080597875,31.0062317522294,39.4259556014443,28.9273540870847,30.4454827308266,33.4225246819695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363922549333443,0.763311139401852,0.486182102104385,0.423750416536073,0.474675832768366,0,0,0,0,0,0,0,0,0,0,NaN,0,8.43201161258024,41.2962543112388,10.648278318205,13.4166909292152,12.9651083789204,10.7670761457221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39512595515424,4.41148602786281,4.40039413865542,4.21651662687957,4.93963673008264,4.85337589080253,4.01904515963937,4.57662525730061,4.6385394710245,4.68791779655239,5.55514766628426
"3′AMP pos",0.0125266348064663,0.0379594994135343,26.2242324670884,25.1613981572521,24.3025487463954,24.0802270493786,21.9981118693115,24.8587264895185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235029778687294,0.483212888498692,0.442544965810807,0.488180816076884,0.459759598879725,0.496702443710763,0,0,0,0,0,0,0,0,0.24546682198833,0,0,0,7.74704413651912,9.97558325000647,9.94328192179681,8.24925476487532,8.49549454909566,7.88173087130237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40915481858928,3.47143351568509,3.67624317656339,3.82000507487613,3.44622900960001,3.8159920194127,3.740268400439,3.65738490734067,5.06000819056082,6.03418414661713,7.15376041383987
"5′AMP pos",0.322900088956722,0.978485118050673,21.0348205535416,47.2379051324501,27.8187891709679,13.9422104496574,55.673181051537,26.1183434771327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.72995440535052,4.34631919861564,2.89241431230256,8.06912918773132,5.67124651468508,10.707142129888,0,0,0,0,0,0,0,0,2.76257821394365,0,0,0,3.67832975728362,2.61795851203578,2.32076356129396,2.2419131761694,0,2.54579717617597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3749944686018,2.29260368492614,4.63661419775329,4.41535133669608,4.23327530448779,4.04765105043307,4.4532130755905,4.89482038943839,6.71137145757246,3.1416875740549,5.37229391210407
"5′UMP neg",0.360871238185484,1.09354920662268,37.1160287359004,44.4593278088177,48.5264162053231,58.793099590636,33.4421682012792,40.4735109306181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3969844834973,3.78754185304563,5.81275070922832,5.84346916883865,4.90575832916962,5.7288740239147,0,0,0,0,1.21276011722052,0.887888125133002,1.58851840403179,1.3498289796409,2.97204872770265,3.17965368730628,0,0,2.77681338493,1.89040978509299,2.06649505052779,4.05484897857693,1.83653843551851,2.86644461863778,0,0,0,0,1.27722026349578,1.99472288030737,2.9406216657213,1.08091350740709,1.00768528722226,1.66665693368523,0,0,0,0,5.49642920396125,6.70373934970445,6.18577265970168,4.75585453942163,6.22380870092951,7.07417332293564,6.65072155829835,24.1604635983912,5.90756378456938,7.98409045242664,5.49227054862005
"5′UMP pos",0.0426783601064919,0.129328363959066,184.722353036997,206.549291929541,117.704969007016,144.550511683973,566.184931810889,116.838127917122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19862316123111,6.54921920217048,5.04495808003182,10.6127050334932,5.64957440329369,11.9789668968374,0,0,0,0,0,0,0,0,5.45622082688077,0,0,0,0,0,0,0,4.68454793730496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.58925787555,10.3207167511349,18.360871370596,8.63738118337322,12.9064558322515,8.0012648174119,8.69817892614478,8.84450153556846,16.8701042036045,9.54127794028326,13.2419619694204
"DHPS neg",0.0118365983422101,0.035868479824879,34.6352009504905,38.4322531095888,31.750218801469,24.6589765575183,81.931301800958,35.3179985150561,0,0,0,0,358.583767527868,482.692021938669,590.96067939684,367.833083454726,543.469404423333,451.441837283968,0,0,0,37.0301225937958,0,0,0,0,0,0,0,0,0,0,1.57214518340617,0,1.58035311637065,0,0,0,0,2.10368052129897,0,0,0,0,0,0,0,0,0,0,552.413442632497,517.249926542781,590.664343340103,333.274205795763,406.063817383006,385.773445468761,0,0,0,0,100.987466983129,121.287864919341,76.3884823479285,95.0656318845055,90.5066100231328,88.7080239748378,78.2033133494606,81.6477958325202,100.209256902274,128.30913836982,121.270161465709
"GABA neg",0.0175377308503086,0.0531446389403292,0.994240940322708,0.889897795669484,0.910886768806925,0.814456742427083,0.693866874717697,0.786915400975463,0.0898325156297249,0.14295103714286,0.103451273499522,0.0752422547714352,6.90228743846008,6.52504191293151,7.65413232964824,6.94464375398619,7.61025418491427,7.37116919276937,0.117524292535886,0.107196855780169,0.151022147437073,0.332458581984586,0.197590364711867,0.229169193073555,0.287132884828539,0.262413186711416,0.296295466346012,0.288707582162235,0.137396022494414,0.170825976868719,0.178206269424191,0.187650229591316,0.230827040561444,0.182970989997356,0.237591879624367,0.213549389994663,0.326469357127612,0.233640804911664,0.275308909708844,0.389347735792073,0.548692389660927,0.488460797960674,0.474582991067072,0.492782031680338,0.487814650800591,0.38187747590895,0.149706883958715,0.172005982566749,0.133070035649221,0.121523398961194,0.163293143416227,0.114048727299687,0.117768458273863,0.160668544275625,0.150680595700821,0.164429753878583,0.0670540179730671,0.0973216339088955,0.146151445299902,0.0690942916462851,1.03823509234198,0.994941224339872,1.03835876554843,1.04026605781814,1.01762161936014,1.04818568583902,1.04416183315378,0.983253279161867,1.0024999389975,1.00651430000567,1.01242515505544
"GABA pos",0.023957535748561,0.0725985931774575,0.99432789873183,0.881145468762462,0.92393370616665,0.804542829867994,0.723996081264323,0.843706442413445,0.0943780054102533,0.127694948551924,0.107688908014712,0.123868887552787,6.63068295509513,6.53673791156912,7.52413797636913,6.76322274954041,7.23651229358674,7.37051052188125,0.0934617347154862,0.104855617523504,0.13979935981684,0.306670321573604,0.202481843600327,0.239248166786801,0.250504720045489,0.25647422688871,0.297863002641213,0.237308997454581,0.142562058857229,0.173388615702531,0.133347086984635,0.156710236849636,0.239095554205342,0.189293459488495,0.185928424717773,0.263214592635783,0.323171981683302,0.233208262881743,0.281489035987831,0.351462142630841,0.530923202117422,0.484234876671075,0.498263941806645,0.428101234213888,0.443275774556532,0.407581301963886,0.153272533834905,0.169449550207004,0.159138568843511,0.147006910136663,0.121997659447141,0.12475214995393,0.151602178186541,0.143512738800183,0.142631362692114,0.136975915708816,0.105502318739031,0.125058989202557,0.132874123799957,0.104000939691783,1.00100425338289,0.993433827075421,1.0224546446736,1.03084837037397,0.998984078213437,1.01584426918902,1.00753909712876,1.03438459231784,1.02444700203492,0.990973376989567,1.01783416589201
"HMP pos",0.0429563397656872,0.130170726562689,0,0.160018765215281,0.116523772689629,0.0538199859577457,0.0717052850285286,0.0534580397465314,0,0,0.0364603527253136,0.0348270155664836,5.60676644149798,5.83232671495003,5.00974233741421,5.19865024616924,4.8261278117193,4.93377321361772,0.459702902429415,0.404795120881331,0.450445645273296,0.58733423019406,0.294587908060882,0.414149632169473,0.366326157108697,0.333981637510187,0.339191228897718,0.301990515238557,0.0910762742784337,0.0921764704465595,0.146380687356122,0.167583144782026,0.0414712309397116,0.0349983939408036,0.0894341085332169,0.0356794512817378,0.0387160231167261,0.0678048702006496,0,0.164454580931619,0.692687705462219,0.826127986965094,0.98233624618622,0.580718988957237,0.652456808860925,0.777120363386569,0.0481027411665896,0.0738847617477166,0,0.0636423343298317,2.47084294270056,2.24785503072215,2.16590479292121,2.10172530769044,2.26634795892497,2.58196669759553,0.473010090765011,0,0.498287261585864,0.0495203927572327,1.11094717451119,1.20335047023907,1.36463472821052,1.18219586620367,1.2304145220009,1.18325600874639,1.17960103578146,1.16778412710319,1.17344530730922,1.27777619381733,1.37234799273026
"S-(1,2-dicarboxyethyl) glutathione neg",0.0245237706605465,0.0743144565471107,0.297819091773856,0.317851427044877,0.271101719444615,0.323403056228522,0.265725638476054,0.286117290439128,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0155281773104879,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0251637518695811,0.0473321357979097,0.0258714821035592,0.0672649651242467,0.0229445182637922,0.0294308708046891,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0178668824009003,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0165826685416981,0.0138782063071736,0.0138782063071736,0.0138782063071736,0.0311450529885393,0.0178767062951189,0.0138782063071736,0.030059756500921,0.0228772219005516,0.0138782063071736,0.0248521441522637,0.0183200769518401,0.0138782063071736,0.0183758116859339
