Metabolite,LOD,LOQ,Croco_10-7_filtrate_1,Croco_10-7_filtrate_2,Croco_10-7_filtrate_3,Croco_10-7_filtrate_4,Croco_10-7_filtrate_5,Croco_10-7_filtrate_6,Croco_10-7_filtrate_B1,Croco_10-7_filtrate_B2,Croco_10-7_filtrate_B3,Croco_10-7_filtrate_B4,Ehux_9-22_filtrate_1,Ehux_9-22_filtrate_2,Ehux_9-22_filtrate_3,Ehux_9-22_filtrate_4,Ehux_9-22_filtrate_5,Ehux_9-22_filtrate_6,Ehux_9-22_filtrate_B1,Ehux_9-22_filtrate_B2,Ehux_9-22_filtrate_B3,Ehux_9-22_filtrate_B4,MM_10-10_filtrate_1,MM_10-10_filtrate_2,MM_10-10_filtrate_3,MM_10-10_filtrate_4,MM_10-10_filtrate_5,MM_10-10_filtrate_6,MM_10-10_filtrate_B1,MM_10-10_filtrate_B2,MM_10-10_filtrate_B3,MM_10-10_filtrate_B4,Pro_11-18_filtrate_1,Pro_11-18_filtrate_2,Pro_11-18_filtrate_3,Pro_11-18_filtrate_4,Pro_11-18_filtrate_5,Pro_11-18_filtrate_6,Pro_11-18_filtrate_B1,Pro_11-18_filtrate_B2,Syn_10-30_filtrate_1,Syn_10-30_filtrate_2,Syn_10-30_filtrate_3,Syn_10-30_filtrate_4,Syn_10-30_filtrate_5,Syn_10-30_filtrate_6,Syn_10-30_filtrate_B1,Syn_10-30_filtrate_B2,Syn_10-30_filtrate_B3,Syn_10-30_filtrate_B4,Tpsu_9-24_filtrate_1,Tpsu_9-24_filtrate_2,Tpsu_9-24_filtrate_3,Tpsu_9-24_filtrate_4,Tpsu_9-24_filtrate_5,Tpsu_9-24_filtrate_6,Tpsu_9-24_filtrate_B1,Tpsu_9-24_filtrate_B2,Tpsu_9-24_filtrate_B3,Tpsu_9-24_filtrate_B4,pool01,pool02,pool03,pool04,pool05,pool06,pool07,pool08,pool09,pool10,pool11
"2′deoxyguanosine neg",0.393149072549989,1.19136082590906,1.06085511306831,0.627240878703995,NaN,0.439909693030876,NaN,1.6069808190354,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2′deoxyguanosine pos",2.28966320861787,6.93837335944809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.156507593717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2′deoxyuridine neg",0.721782688118958,2.18722026702714,3.93938085210154,4.19518956613233,3.97309873394347,5.32975403897438,2.22688329518961,2.16342601529558,NaN,NaN,NaN,NaN,NaN,0.736802682912516,NaN,NaN,NaN,NaN,1.04096867897338,NaN,0.914090985275214,NaN,NaN,NaN,0.845967578487776,NaN,NaN,NaN,0.765230258863525,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.3802029918867,68.7603956734531,72.6302129193925,62.1366238507364,64.2414294770725,65.979527565959,1.02053865075017,NaN,1.05803013783393,NaN,NaN,NaN,NaN,NaN,NaN,0.812080848945522,NaN,NaN,0.843822023629711,NaN,9.29385580664954,7.83546897156647,6.78412383423615,5.11435226397336,6.99469812979762,5.76289813011599,7.64595404909427,7.57253936225583,4.96493591831102,5.57697373626051,4.81644922933791
"3′deoxyguanosine1 pos",0.214259836759526,0.649272232604623,1.11931734352143,1.04969665148278,0.532951426404948,0.632622480425612,NaN,1.29455751059868,0.729972302327832,0.274141521804898,NaN,NaN,0.353237185815418,0.619247488222007,0.437491486003972,0.346543840345729,NaN,0.40821097087885,0.462264038825358,0.249065987837639,NaN,0.260312583961623,0.296868628731531,0.307941780953152,NaN,0.463876079276959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.880585808174617,NaN,0.281399475433382,NaN,NaN,0.225981863735368,NaN,NaN,NaN,NaN,NaN,NaN,0.277734219827227,NaN,0.370792990118367,NaN,0.728941515121759,NaN,NaN,NaN,NaN,NaN,NaN,0.44277769871809,NaN,NaN,NaN,NaN,NaN,0.629864406153854,NaN,NaN,0.232305972343322,NaN,0.686493757233764
"3′AMP neg",0.0414421678378388,0.12558232678133,26.5375374176761,24.6155916518058,24.1065733714811,23.6834514473937,22.8833383198368,23.6039456063843,0.140391682038723,0.140391682038723,0.153781716527784,0.140391682038723,0.140391682038723,0.140391682038723,0.149444809806437,0.148970042771211,0.145315209080368,0.140391682038723,0.177021139161035,0.202489296503736,0.150587986551488,0.140391682038723,0.529424290223139,0.654765051148219,0.552500311096163,0.726392068706108,0.555279340149434,0.645048882422421,0.140391682038723,0.16567693410808,0.147715889293855,0.140391682038723,0.258693364473512,0.280837857279932,0.159517527336224,0.288735266615657,0.562775200572326,0.194967837746166,0.140391682038723,0.140391682038723,7.50018119612354,7.41039736902158,9.38044347388827,8.8828133246,6.67945704894814,7.87369690823678,0.140391682038723,0.147073287531545,0.140391682038723,0.140391682038723,0.225798499466588,0.181491556422164,0.140391682038723,0.140391682038723,0.221544987498263,0.237120894404352,0.212949579394496,0.182914110946154,0.228903212911357,0.17922978140972,3.74252552308674,3.68051821186651,3.52700637601446,3.43137834433997,3.4945473601766,3.55341970798886,3.46322657880234,3.52084526012551,3.42441211645641,3.63996551210295,3.63528405138852
"3′AMP pos",0.0156582802204322,0.0474493340013098,24.7616147318449,24.0954083295926,24.0893424323878,25.3762593740628,22.7660602392535,22.5204006710681,0.0597877124663285,0.0644491287669101,0.0756057508321896,0.0641250914625673,0.0546323230458236,0.0373182850251551,0.0707512626144513,0.0601757569771458,0.0611445731416279,0.0382358014774889,0.112787870579833,0.121978399118597,0.12349570491925,0.116456432813788,0.485650575745807,0.625461372924049,0.553482731273194,0.604226274180054,0.530081617522443,0.62099610549637,0.0750473634431116,0.1138091215855,0.0701120430623415,0.0639007961535382,0.203332052829622,0.205796931446034,0.161136711219557,0.227631575355971,0.513654668327347,0.141749994117515,0.0312417918705499,0.0432361999646631,8.52363686313872,7.6851306282267,9.92576568102006,9.04441946095555,9.3745066000049,8.54379629282386,0.0312417918705499,0.0728283308063511,0.0312417918705499,0.0312417918705499,0.17254526926374,0.172483054670065,0.125621790872093,0.17049401387383,0.183699897477718,0.182035702238541,0.148714422804907,0.139480869596933,0.162104797114605,0.125118528646077,3.83196615842107,3.83577342000523,3.31646880318552,3.86409558048044,3.73717534078818,3.7237428975261,3.50295265895,3.55962701125756,3.84014983202981,3.78284119304516,5.47013232542673
"4-aminobenzoic acid pos",0.133665656912087,0.405047445188142,42.410735552162,27.8814730307722,35.0953254252263,28.3653507137622,22.4148884016014,22.8343811966079,0,0.770403899238816,0,0,0.721561345250587,1.22422016486943,3.45905684373651,3.0387303489075,1.30300558794139,1.84833925777565,0,0.670130325777013,1.58729495208819,0.983524952129505,198.756187850286,184.917533300095,240.282759755376,249.081506780991,171.09313344269,336.673810832039,0.553154995730604,1.33591742644734,0,0.761517250349947,15.3119685672649,11.8397676228096,14.3004695324948,14.6189969551014,20.1284991570998,14.0032846306783,0,0,11.0314017605705,7.7568660261113,12.5164246325672,8.07831575275803,7.67738471208919,7.36377051841727,0,0.672353284141972,0.564286149313805,0,258.07592231514,305.922452702544,251.723860506697,206.88835842087,133.491350258238,292.441753492179,0,0.634980599635331,0.977888183364592,0,79.9825226848926,71.9109489294537,85.7296098793456,62.7322836821909,72.8452800470127,67.6727212230574,67.9925061975254,65.2070553054019,75.4116119798444,64.6516087532876,88.9324229314903
"5′AMP pos",0.13608237100485,0.412370821226818,33.31688596021,42.8050480819558,27.3732292884658,34.528932348688,35.7463122574092,27.3094991522291,0.469880038562632,0.437175802529513,0.437175802529513,0.437175802529513,0.437175802529513,0.75851196549993,0.57892474608441,0.533141130486267,0.451941455770966,0.437175802529513,0.460787354073414,0.449172523618783,0.558108918375811,0.734506306235251,6.69830589035331,9.59191480986343,10.5967008318627,10.0688085727791,9.17045856800272,12.9881529135775,0.437175802529513,0.465481269655404,0.437175802529513,0.437175802529513,1.88433143491719,1.59840795424309,1.69696652572151,1.65085903581897,3.21862151007808,1.69030369155109,0.437175802529513,0.592104995661718,4.23689805202989,2.34046192424109,3.05610343294678,3.31157680163627,3.38215603506456,2.8581186627049,0.557255134897157,0.437175802529513,0.437175802529513,0.550471518919196,1.12266396437955,0.950273836151043,0.803978820859483,1.15224548818941,1.13498771440441,1.36566763081227,0.437175802529513,0.455058636945396,0.461957269596204,0.437175802529513,6.6543968540767,3.78156483590471,7.08100656058334,6.81323803761336,6.77542871651279,6.94417378326485,6.82630244125535,6.78893934392058,6.80109190807252,5.50509834385721,6.91273967023561
"5′IMP neg",0.106819107041195,0.323694263761198,0.338005132425025,0.396724968360383,0.231720195431896,0.218585921640021,0.159655664337983,0.358902083965533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.213707386845999,0.124172445816134,0.118934254138305,0.154832799525145,0.180108845930881,0.160263315038816,NaN,NaN,NaN,NaN,NaN,0.15693532192342,0.236334456979284,0.165331104504049,0.622483336935626,0.398037969481904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.117381328804648
"5′UMP neg",0.0595275575383684,0.180386537995056,37.973525505008,42.5157870666071,36.3126209736101,43.5477689076385,40.8771065796143,45.4576013258445,0.206769700505759,0.206769700505759,0.206769700505759,0.206769700505759,0.206769700505759,0.206769700505759,0.387937275588167,0.459157884148675,0.206769700505759,0.339027439410771,0.206769700505759,0.206769700505759,0.206769700505759,0.372301948763099,4.11922167074976,4.43871420388838,4.48684518157875,5.35716427360866,3.474320410893,6.96822173471248,0.206769700505759,0.206769700505759,0.206769700505759,0.206769700505759,1.59515844697524,1.46492244385328,1.4715137798044,1.88759589123892,3.63575999108026,1.43948049579481,0.206769700505759,0.206769700505759,2.53425358460365,2.29221675114277,2.70162471771539,2.94068586374272,2.47949093779869,2.43733775368642,0.206769700505759,0.206769700505759,0.206769700505759,0.206769700505759,1.20512003360618,1.31133437728221,1.38833337131602,1.48615985411994,1.70936530720664,1.5700451095606,0.206769700505759,0.216238029180077,0.232061577834471,0.206769700505759,6.03903738719981,5.55643698803837,6.07142032355937,5.40398324535533,6.14068012843731,5.99495941806973,5.72459083094996,4.89959657755761,5.84565762363181,5.40165617029013,5.42492364598501
